"","Index","Jahr","Quartal","Index","Wohnbauindikator","Gesamtbauindikator"
"1","19941","1994",1994 Q1,"19941",11422.1440260922,4881.87831358898
"2","19942","1994",1994 Q2,"19942",11229.6480155416,4813.09960145761
"3","19943","1994",1994 Q3,"19943",11366.746634634,5407.97776451626
"4","19944","1994",1994 Q4,"19944",11421.0619167575,5766.85848722272
"5","19951","1995",1995 Q1,"19951",11227.8473904295,5451.51194090818
"6","19952","1995",1995 Q2,"19952",11282.9218614862,5433.21157009115
"7","19953","1995",1995 Q3,"19953",11030.1240800286,5251.12158229525
"8","19954","1995",1995 Q4,"19954",10333.7206379132,4745.88165729244
"9","19961","1996",1996 Q1,"19961",10389.3631462238,4840.39449856433
"10","19962","1996",1996 Q2,"19962",10060.7164013213,4682.30209050801
"11","19963","1996",1996 Q3,"19963",9324.47141630415,3825.2128567874
"12","19964","1996",1996 Q4,"19964",10135.8540454166,4804.01669388644
"13","19971","1997",1997 Q1,"19971",9583.17050223133,4185.46087552614
"14","19972","1997",1997 Q2,"19972",9570.0554367083,4366.58744191764
"15","19973","1997",1997 Q3,"19973",9529.41166346293,4306.42154501647
"16","19974","1997",1997 Q4,"19974",9463.46159345235,4139.18752686537
"17","19981","1998",1998 Q1,"19981",9480.36346327478,4195.09366575555
"18","19982","1998",1998 Q2,"19982",9513.6854138754,4114.82116000821
"19","19983","1998",1998 Q3,"19983",9752.86368574547,4564.01593602368
"20","19984","1998",1998 Q4,"19984",9665.71007651188,4660.5446980616
"21","19991","1999",1999 Q1,"19991",9470.04727073153,4318.82998816612
"22","19992","1999",1999 Q2,"19992",9351.29777451621,4303.10754345955
"23","19993","1999",1999 Q3,"19993",9359.6010111412,4068.75480685945
"24","19994","1999",1999 Q4,"19994",9667.79203895775,4375.64255274028
"25","20001","2000",2000 Q1,"20001",9883.15925817429,4191.34403108488
"26","20002","2000",2000 Q2,"20002",10224.8692891233,4536.24369285445
"27","20003","2000",2000 Q3,"20003",10221.1518667807,4293.3150650426
"28","20004","2000",2000 Q4,"20004",10261.9414947806,4419.9318113982
"29","20011","2001",2001 Q1,"20011",10272.3262410625,4667.59555822868
"30","20012","2001",2001 Q2,"20012",10113.6485556465,4330.06157620325
"31","20013","2001",2001 Q3,"20013",10145.5731107956,4298.34309485102
"32","20014","2001",2001 Q4,"20014",9989.76490607211,3943.81680049975
"33","20021","2002",2002 Q1,"20021",10103.7101572877,4032.34858662402
"34","20022","2002",2002 Q2,"20022",10401.539168293,4354.93515507934
"35","20023","2002",2002 Q3,"20023",10184.9902487158,4135.49946704908
"36","20024","2002",2002 Q4,"20024",10231.8124310409,4275.14514506736
"37","20031","2003",2003 Q1,"20031",10350.3172968597,4853.37059620738
"38","20032","2003",2003 Q2,"20032",9973.50760420751,4341.82290425703
"39","20033","2003",2003 Q3,"20033",10195.7008007132,4808.95153057858
"40","20034","2003",2003 Q4,"20034",10533.2678530328,5298.4453803196
"41","20041","2004",2004 Q1,"20041",10552.4752549716,5238.36520476116
"42","20042","2004",2004 Q2,"20042",10540.1219985222,5072.3479074487
"43","20043","2004",2004 Q3,"20043",10701.8087388111,5241.48755808735
"44","20044","2004",2004 Q4,"20044",11491.8648400156,5924.97351805371
"45","20051","2005",2005 Q1,"20051",11305.716513053,5686.35600798558
"46","20052","2005",2005 Q2,"20052",11512.1787208489,5782.27978780195
"47","20053","2005",2005 Q3,"20053",11715.6907091566,6090.12604133943
"48","20054","2005",2005 Q4,"20054",11279.0731722039,5531.85463252128
"49","20061","2006",2006 Q1,"20061",11513.3367968314,5876.69941582485
"50","20062","2006",2006 Q2,"20062",11650.7759216875,5898.5669677112
"51","20063","2006",2006 Q3,"20063",11776.136175339,5926.52889708704
"52","20064","2006",2006 Q4,"20064",11608.9644970143,5784.61769470967
"53","20071","2007",2007 Q1,"20071",11645.3646517088,5813.99667735466
"54","20072","2007",2007 Q2,"20072",11895.7075848507,6128.75028334981
"55","20073","2007",2007 Q3,"20073",11789.0069936507,5996.12412030482
"56","20074","2007",2007 Q4,"20074",11970.1068749511,5718.76538577923
"57","20081","2008",2008 Q1,"20081",12232.9444500605,5948.11056729559
"58","20082","2008",2008 Q2,"20082",12171.2335329557,5862.72067761197
"59","20083","2008",2008 Q3,"20083",12344.2948041964,6002.20711398465
"60","20084","2008",2008 Q4,"20084",12349.2538469595,6269.21028934666
"61","20091","2009",2009 Q1,"20091",12370.9539367544,6157.07751311774
"62","20092","2009",2009 Q2,"20092",12344.0813004739,6054.75642819945
"63","20093","2009",2009 Q3,"20093",12273.5105276319,5921.18170342449
"64","20094","2009",2009 Q4,"20094",13072.0535849847,6921.05255095741
"65","20101","2010",2010 Q1,"20101",12580.6659479384,6226.12161732446
"66","20102","2010",2010 Q2,"20102",12915.995259886,6710.55929998437
"67","20103","2010",2010 Q3,"20103",13203.8150502405,6912.54013653188
"68","20104","2010",2010 Q4,"20104",13343.3720793642,6959.64024305372
"69","20111","2011",2011 Q1,"20111",13272.9083138167,6917.6827935644
"70","20112","2011",2011 Q2,"20112",13833.7872337868,7354.5649942355
"71","20113","2011",2011 Q3,"20113",13491.0754166372,6840.75547641379
"72","20114","2011",2011 Q4,"20114",13938.0861929559,7427.9893623439
"73","20121","2012",2012 Q1,"20121",14170.955166156,7478.07801455398
"74","20122","2012",2012 Q2,"20122",13959.4376495851,7331.99994509026
"75","20123","2012",2012 Q3,"20123",14191.9012769856,7381.23873944123
"76","20124","2012",2012 Q4,"20124",14024.9464933838,7019.16168506781
"77","20131","2013",2013 Q1,"20131",14468.5460003371,7346.61086620179
"78","20132","2013",2013 Q2,"20132",14604.9214585324,7690.47547367436
"79","20133","2013",2013 Q3,"20133",15867.5707912694,9348.75870786842
"80","20134","2013",2013 Q4,"20134",13539.9292487542,6100.08517098162
"81","20141","2014",2014 Q1,"20141",14976.0901513178,7832.1887398945
"82","20142","2014",2014 Q2,"20142",14884.7264976598,7716.15858142566
"83","20143","2014",2014 Q3,"20143",15167.9755339161,7785.43456762173
"84","20144","2014",2014 Q4,"20144",15284.806413557,7535.44390120145
"85","20151","2015",2015 Q1,"20151",15580.5583939942,7549.3414857632
"86","20152","2015",2015 Q2,"20152",15355.848592917,7014.71940617162
"87","20153","2015",2015 Q3,"20153",15110.6581800384,6859.72692867377
"88","20154","2015",2015 Q4,"20154",15291.0975797132,7127.1388774416
"89","20161","2016",2016 Q1,"20161",14725.0526106796,6901.96557780523
"90","20162","2016",2016 Q2,"20162",14698.290335729,6954.70911254811
"91","20163","2016",2016 Q3,"20163",14597.3241964848,7148.67479470895
"92","20164","2016",2016 Q4,"20164",14319.3953458976,7106.5680173845
"93","20171","2017",2017 Q1,"20171",14004.7681670835,6853.38741544263
"94","20172","2017",2017 Q2,"20172",13410.3086163343,6262.31899337825
