"","Jahr","Quartal","Wohnbauindikator","Gesamtbauindikator"
"1","1994",1994 Q2,11229.6480155416,4813.09960145761
"2","1995",1995 Q2,11282.9218614862,5433.21157009115
"3","1996",1996 Q2,10060.7164013213,4682.30209050801
"4","1997",1997 Q2,9570.0554367083,4366.58744191764
"5","1998",1998 Q2,9513.6854138754,4114.82116000821
"6","1999",1999 Q2,9351.29777451621,4303.10754345955
"7","2000",2000 Q2,10224.8692891233,4536.24369285445
"8","2001",2001 Q2,10113.6485556465,4330.06157620325
"9","2002",2002 Q2,10401.539168293,4354.93515507934
"10","2003",2003 Q2,9973.50760420751,4341.82290425703
"11","2004",2004 Q2,10540.1219985222,5072.3479074487
"12","2005",2005 Q2,11512.1787208489,5782.27978780195
"13","2006",2006 Q2,11650.7759216875,5898.5669677112
"14","2007",2007 Q2,11895.7075848507,6128.75028334981
"15","2008",2008 Q2,12171.2335329557,5862.72067761197
"16","2009",2009 Q2,12344.0813004739,6054.75642819945
"17","2010",2010 Q2,12915.995259886,6710.55929998437
"18","2011",2011 Q2,13833.7872337868,7354.5649942355
"19","2012",2012 Q2,13959.4376495851,7331.99994509026
"20","2013",2013 Q2,14604.9214585324,7690.47547367436
"21","2014",2014 Q2,14884.7264976598,7716.15858142566
"22","2015",2015 Q2,15355.848592917,7014.71940617162
"23","2016",2016 Q2,14698.290335729,6954.70911254811
"24","2017",2017 Q2,13410.3086163343,6262.31899337825
"25","1994",1994 Q1,11422.1440260922,4881.87831358898
"26","1995",1995 Q1,11227.8473904295,5451.51194090818
"27","1996",1996 Q1,10389.3631462238,4840.39449856433
"28","1997",1997 Q1,9583.17050223133,4185.46087552614
"29","1998",1998 Q1,9480.36346327478,4195.09366575555
"30","1999",1999 Q1,9470.04727073153,4318.82998816612
"31","2000",2000 Q1,9883.15925817429,4191.34403108488
"32","2001",2001 Q1,10272.3262410625,4667.59555822868
"33","2002",2002 Q1,10103.7101572877,4032.34858662402
"34","2003",2003 Q1,10350.3172968597,4853.37059620738
"35","2004",2004 Q1,10552.4752549716,5238.36520476116
"36","2005",2005 Q1,11305.716513053,5686.35600798558
"37","2006",2006 Q1,11513.3367968314,5876.69941582485
"38","2007",2007 Q1,11645.3646517088,5813.99667735466
"39","2008",2008 Q1,12232.9444500605,5948.11056729559
"40","2009",2009 Q1,12370.9539367544,6157.07751311774
"41","2010",2010 Q1,12580.6659479384,6226.12161732446
"42","2011",2011 Q1,13272.9083138167,6917.6827935644
"43","2012",2012 Q1,14170.955166156,7478.07801455398
"44","2013",2013 Q1,14468.5460003371,7346.61086620179
"45","2014",2014 Q1,14976.0901513178,7832.1887398945
"46","2015",2015 Q1,15580.5583939942,7549.3414857632
"47","2016",2016 Q1,14725.0526106796,6901.96557780523
"48","2017",2017 Q1,14004.7681670835,6853.38741544263
"49","1994",1994 Q3,11366.746634634,5407.97776451626
"50","1995",1995 Q3,11030.1240800286,5251.12158229525
"51","1996",1996 Q3,9324.47141630415,3825.2128567874
"52","1997",1997 Q3,9529.41166346293,4306.42154501647
"53","1998",1998 Q3,9752.86368574547,4564.01593602368
"54","1999",1999 Q3,9359.6010111412,4068.75480685945
"55","2000",2000 Q3,10221.1518667807,4293.3150650426
"56","2001",2001 Q3,10145.5731107956,4298.34309485102
"57","2002",2002 Q3,10184.9902487158,4135.49946704908
"58","2003",2003 Q3,10195.7008007132,4808.95153057858
"59","2004",2004 Q3,10701.8087388111,5241.48755808735
"60","2005",2005 Q3,11715.6907091566,6090.12604133943
"61","2006",2006 Q3,11776.136175339,5926.52889708704
"62","2007",2007 Q3,11789.0069936507,5996.12412030482
"63","2008",2008 Q3,12344.2948041964,6002.20711398465
"64","2009",2009 Q3,12273.5105276319,5921.18170342449
"65","2010",2010 Q3,13203.8150502405,6912.54013653188
"66","2011",2011 Q3,13491.0754166372,6840.75547641379
"67","2012",2012 Q3,14191.9012769856,7381.23873944123
"68","2013",2013 Q3,15867.5707912694,9348.75870786842
"69","2014",2014 Q3,15167.9755339161,7785.43456762173
"70","2015",2015 Q3,15110.6581800384,6859.72692867377
"71","2016",2016 Q3,14597.3241964848,7148.67479470895
"72","1994",1994 Q4,11421.0619167575,5766.85848722272
"73","1995",1995 Q4,10333.7206379132,4745.88165729244
"74","1996",1996 Q4,10135.8540454166,4804.01669388644
"75","1997",1997 Q4,9463.46159345235,4139.18752686537
"76","1998",1998 Q4,9665.71007651188,4660.5446980616
"77","1999",1999 Q4,9667.79203895775,4375.64255274028
"78","2000",2000 Q4,10261.9414947806,4419.9318113982
"79","2001",2001 Q4,9989.76490607211,3943.81680049975
"80","2002",2002 Q4,10231.8124310409,4275.14514506736
"81","2003",2003 Q4,10533.2678530328,5298.4453803196
"82","2004",2004 Q4,11491.8648400156,5924.97351805371
"83","2005",2005 Q4,11279.0731722039,5531.85463252128
"84","2006",2006 Q4,11608.9644970143,5784.61769470967
"85","2007",2007 Q4,11970.1068749511,5718.76538577923
"86","2008",2008 Q4,12349.2538469595,6269.21028934666
"87","2009",2009 Q4,13072.0535849847,6921.05255095741
"88","2010",2010 Q4,13343.3720793642,6959.64024305372
"89","2011",2011 Q4,13938.0861929559,7427.9893623439
"90","2012",2012 Q4,14024.9464933838,7019.16168506781
"91","2013",2013 Q4,13539.9292487542,6100.08517098162
"92","2014",2014 Q4,15284.806413557,7535.44390120145
"93","2015",2015 Q4,15291.0975797132,7127.1388774416
"94","2016",2016 Q4,14319.3953458976,7106.5680173845
